"Edition 3 (2021)"
"Structure name","ASGS geography","Reference Date","URL"
"Main Structure and Greater Capital City Statistical Areas","Australia (AUS)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/AUS/MapServer"
,"State and Territory (S/T)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/STE/MapServer"
,"Greater Capital City Statistical Areas (GCCSAs)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/GCCSA/MapServer"
,"Statistical Areas Level 4 (SA4s)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA4/MapServer"
,"Statistical Areas Level 3 (SA3s)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA3/MapServer"
,"Statistical Areas Level 2 (SA2s)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer"
,"Statistical Areas Level 1 (SA1s)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA1/MapServer"
,"Mesh Blocks (MBs)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/MB/MapServer"
"Indigenous Structure","Indigenous Regions (IREGs)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/IREG/MapServer"
,"Indigenous Areas (IAREs)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/IARE/MapServer"
,"Indigenous Locations (ILOCs)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/ILOC/MapServer"
"Significant Urban Areas, Urban Centres and Localities, Section of State and Section of State Range","Significant Urban Areas (SUAs)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SUA/MapServer"
,"Urban Centres and Localities (UCLs)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/UCL/MapServer"
,"Section of State (SOS)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SOS/MapServer"
,"Section of State Range (SOSR)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SOSR/MapServer"
"Remoteness Structure","Remoteness Areas (RAs)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/RA/MapServer"
"Non ABS Structures","Local Government Areas (LGAs)","2023","https://geo.abs.gov.au/arcgis/rest/services/ASGS2023/LGA/MapServer"
,"Local Government Areas (LGAs)","2022","https://geo.abs.gov.au/arcgis/rest/services/ASGS2022/LGA/MapServer"
,"Local Government Areas (LGAs)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/LGA/MapServer"
,"State Electoral Divisions (SEDs)","2022","https://geo.abs.gov.au/arcgis/rest/services/ASGS2022/SED/MapServer"
,"State Electoral Divisions (SEDs)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SED/MapServer"
,"Commonwealth Electoral Divisions (CEDs)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/CED/MapServer"
,"Postal Areas (POAs)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/POA/MapServer"
,"Tourism Regions (TRs)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/TR/MapServer"
,"Australian Drainage Divisions (ADDs)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/ADD/MapServer"
,"Suburbs and Localities (SALs)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SAL/MapServer"
,"Destination Zones (DZNs)","2021","https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/DZN/MapServer"

"Source: Australian Bureau of Statistics, Data services and APIs July 2021 - June 2026"
